participant,session,block_number,trial_number,trial_in_block_num,trial_type,probability_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,is_first_attempt,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
2,1,2,138,58,P,H,"1,2,4,3",1,0.33251400012522936,0.33254659990780056,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,139,59,R,L,"1,2,4,3",1,0.3662209000904113,0.3662296000402421,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,140,60,P,H,"1,2,4,3",2,0.3327236999757588,0.33273259992711246,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,141,61,R,L,"1,2,4,3",3,0.3822730998508632,0.382282700156793,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,142,62,P,H,"1,2,4,3",4,0.4502608999609947,0.45027059991844,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,143,63,R,L,"1,2,4,3",4,0.3497619000263512,0.3497711999807507,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,144,64,P,H,"1,2,4,3",3,0.3826903000008315,0.38269939995370805,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,145,65,R,H,"1,2,4,3",3,0.3499755999073386,0.34998499997891486,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,146,66,P,H,"1,2,4,3",1,0.34945320012047887,0.34946350008249283,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,147,67,R,L,"1,2,4,3",2,0.2994319999124855,0.2994425999931991,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,148,68,P,H,"1,2,4,3",2,0.3328849000390619,0.33289610012434423,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,149,69,R,L,"1,2,4,3",1,0.3666098997928202,0.3666193999815732,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,150,70,P,H,"1,2,4,3",4,0.40046810009516776,0.40047749993391335,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,151,71,R,L,"1,2,4,3",3,0.3333217001054436,0.3333315998315811,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,152,72,P,H,"1,2,4,3",3,0.40011260006576777,0.40012259990908206,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,2,153,73,R,H,"1,2,4,3",1,0.383715600008145,0.38372469996102154,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,2,154,74,P,H,"1,2,4,3",1,0.31389629980549216,0.3139060998801142,s,f,False,False,False,1,1,NA,NA,NA,NA
2,1,2,154,74,P,H,"1,2,4,3",1,0.09990280005149543,0.41384040005505085,s,s,True,False,False,1,0,NA,NA,NA,NA
2,1,2,155,75,R,L,"1,2,4,3",4,0.41689709993079305,0.4169073000084609,l,j,False,False,False,1,1,NA,NA,NA,NA
2,1,2,155,75,R,L,"1,2,4,3",4,0.5839180999901146,1.0008529000915587,l,l,True,False,False,1,0,NA,NA,NA,NA
2,1,2,156,76,P,H,"1,2,4,3",2,0.36700489977374673,0.36701379995793104,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,2,157,77,R,T,"1,2,4,3",4,0.3334912001155317,0.33350070007145405,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,158,78,P,H,"1,2,4,3",4,0.2987735001370311,0.29878260008990765,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,159,79,R,R,"1,2,4,3",4,0.3830031000543386,0.38301340001635253,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,2,160,80,P,H,"1,2,4,3",3,0.36558700003661215,0.3655962999910116,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,3,161,1,R,X,"1,2,4,3",1,0.3994179000146687,0.39942670008167624,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,3,162,2,P,X,"1,2,4,3",1,0.2594264999497682,0.2594379000365734,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,3,163,3,R,L,"1,2,4,3",3,0.3161919000558555,0.31620130012743175,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,3,164,4,P,H,"1,2,4,3",2,0.28246750007383525,0.28247929993085563,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,3,165,5,R,T,"1,2,4,3",3,0.30013770004734397,0.3001465001143515,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,3,166,6,P,H,"1,2,4,3",4,0.2997596999630332,0.29976810002699494,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,3,167,7,R,L,"1,2,4,3",4,0.24986270000226796,0.24987339996732771,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,3,168,8,P,H,"1,2,4,3",3,0.34983250009827316,0.349841799819842,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,3,169,9,R,T,"1,2,4,3",4,0.3498646002262831,0.34987420006655157,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,3,170,10,P,H,"1,2,4,3",1,0.38348159985616803,0.38349279994145036,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,3,171,11,R,H,"1,2,4,3",3,0.31695490004494786,0.31696629989892244,j,f,False,False,False,1,1,NA,NA,NA,NA
2,1,3,171,11,R,H,"1,2,4,3",3,0.016334100160747766,0.33333500009030104,j,j,True,False,False,1,0,NA,NA,NA,NA
2,1,3,172,12,P,H,"1,2,4,3",2,0.26593679981306195,0.26594830001704395,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,3,173,13,R,T,"1,2,4,3",3,0.34915190003812313,0.3491613999940455,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,3,174,14,P,H,"1,2,4,3",4,0.29939000005833805,0.29939919989556074,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,3,175,15,R,L,"1,2,4,3",2,0.2652554002124816,0.26526429993100464,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,3,176,16,P,H,"1,2,4,3",3,0.34896020009182394,0.3489693000447005,j,j,True,False,False,1,1,NA,NA,NA,NA
2,1,3,177,17,R,L,"1,2,4,3",1,0.29823840013705194,0.2982473000884056,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,3,178,18,P,H,"1,2,4,3",1,0.2826004000380635,0.2826100999955088,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,3,179,19,R,L,"1,2,4,3",4,0.2991744999308139,0.2991844001226127,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,3,180,20,P,H,"1,2,4,3",2,0.28258359991014004,0.2825940998736769,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,3,181,21,R,L,"1,2,4,3",1,0.31662339996546507,0.3166327001526952,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,3,182,22,P,H,"1,2,4,3",4,0.2998963000718504,0.29990510013885796,l,l,True,False,False,1,1,NA,NA,NA,NA
2,1,3,183,23,R,T,"1,2,4,3",1,0.29911159980110824,0.29911989998072386,s,f,False,False,False,1,1,NA,NA,NA,NA
2,1,3,183,23,R,T,"1,2,4,3",1,0.20015049981884658,0.49929820001125336,s,s,True,False,False,1,0,NA,NA,NA,NA
2,1,3,184,24,P,H,"1,2,4,3",3,0.2333883000537753,0.23339710012078285,j,f,False,False,False,1,1,NA,NA,NA,NA
2,1,3,184,24,P,H,"1,2,4,3",3,0.13316670013591647,0.36660780012607574,j,j,True,False,False,1,0,NA,NA,NA,NA
2,1,3,185,25,R,H,"1,2,4,3",2,0.24873650004155934,0.24874569987878203,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,3,186,26,P,H,"1,2,4,3",1,0.3168981000781059,0.3169074000325054,s,s,True,False,False,1,1,NA,NA,NA,NA
2,1,3,187,27,R,T,"1,2,4,3",2,0.2654689000919461,0.2654784000478685,f,f,True,False,False,1,1,NA,NA,NA,NA
2,1,3,188,28,P,H,"1,2,4,3",2,0.26603529998101294,0.2660443999338895,f,f,True,False,False,1,1,NA,NA,NA,NA
