participant,session,block_number,trial_number,trial_in_block_num,trial_type,triplet_type,sequence_used,stimulus_position_num,rt_non_cumulative_s,rt_cumulative_s,correct_key_pressed,response_key_pressed,correct_response,is_nogo,is_practice,epoch,is_first_response,mind_wandering_rating_1,mind_wandering_rating_2,mind_wandering_rating_3,mind_wandering_rating_4
0001,1,1,64,64,P,H,"1,2,3,4",4,0.4266511999994691,0.4266511999994691,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,65,65,R,T,"1,2,3,4",1,0.40665590000025986,0.40665590000025986,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,66,66,P,H,"1,2,3,4",1,0.3265852000004088,0.3265852000004088,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,67,67,R,L,"1,2,3,4",4,0.37166769999930693,0.37166769999930693,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,68,68,P,H,"1,2,3,4",2,0.47031590000005963,0.47031590000005963,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,69,69,R,L,"1,2,3,4",3,0.4541170999982569,0.4541170999982569,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,70,70,P,H,"1,2,3,4",3,0.4698399999997491,0.4698399999997491,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,71,71,R,L,"1,2,3,4",1,0.43791370000144525,0.43791370000144525,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,72,72,P,H,"1,2,3,4",4,0.3897097999997641,0.3897097999997641,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,73,73,R,L,"1,2,3,4",4,0.298143699999855,0.298143699999855,l,l,True,False,False,1,1,2,2,1,3
0001,1,1,74,74,P,H,"1,2,3,4",1,0.4784211999995023,0.4784211999995023,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,75,75,R,H,"1,2,3,4",1,0.3226620000004914,0.3226620000004914,s,s,True,False,False,1,1,2,2,1,3
0001,1,1,76,76,P,H,"1,2,3,4",2,0.7228878000005352,0.7228878000005352,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,77,77,R,L,"1,2,3,4",3,0.4179535000002943,0.4179535000002943,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,78,78,P,H,"1,2,3,4",3,0.30936280000059924,0.30936280000059924,j,j,True,False,False,1,1,2,2,1,3
0001,1,1,79,79,R,L,"1,2,3,4",2,0.6728471999995236,0.6728471999995236,f,f,True,False,False,1,1,2,2,1,3
0001,1,1,80,80,P,H,"1,2,3,4",4,0.3712735999997676,0.3712735999997676,l,l,True,False,False,1,1,2,2,1,3
0001,1,2,81,1,R,X,"1,2,3,4",2,0.6215436999991653,0.6215436999991653,f,f,True,False,False,1,1,3,4,2,1
0001,1,2,82,2,P,X,"1,2,3,4",1,0.38563869999961753,0.38563869999961753,s,s,True,False,False,1,1,3,4,2,1
0001,1,2,83,3,R,L,"1,2,3,4",1,0.2776709999998275,0.2776709999998275,s,s,True,False,False,1,1,3,4,2,1
0001,1,2,84,4,P,H,"1,2,3,4",2,0.46543840000049386,0.46543840000049386,f,f,True,False,False,1,1,3,4,2,1
0001,1,2,85,5,R,H,"1,2,3,4",2,0.2765347999993537,0.2765347999993537,f,f,True,False,False,1,1,3,4,2,1
0001,1,2,86,6,P,H,"1,2,3,4",3,0.31534039999860397,0.31534039999860397,j,j,True,False,False,1,1,3,4,2,1
0001,1,2,87,7,R,L,"1,2,3,4",4,0.3445214000003034,0.3445214000003034,l,l,True,False,False,1,1,3,4,2,1
0001,1,2,88,8,P,H,"1,2,3,4",4,0.35862100000122155,0.35862100000122155,l,l,True,False,False,1,1,3,4,2,1
